City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,Anlu,31.17,112.58,75.45,63,0,3.06,CN,2020-09-03 00:00:21
208,Vidalia,32.22,-82.41,86.0,66,1,4.47,US,2020-09-03 00:00:21
209,Winton,37.39,-120.61,93.2,28,1,12.75,US,2020-09-03 00:00:22
210,Souillac,-20.52,57.52,68.0,100,75,3.36,MU,2020-09-03 00:00:22
211,Provideniya,64.38,-173.3,50.0,61,75,11.18,RU,2020-09-03 00:00:23
212,Tiksi,71.69,128.87,40.59,81,8,14.03,RU,2020-09-03 00:00:23
213,Dunedin,-45.87,170.5,54.0,61,0,3.0,NZ,2020-09-03 00:00:24
214,Luderitz,-26.65,15.16,54.46,59,0,7.43,NA,2020-09-03 00:00:24
215,Richards Bay,-28.78,32.04,63.52,70,26,18.92,ZA,2020-09-03 00:00:25
216,Beloha,-25.17,45.05,55.15,76,10,6.4,MG,2020-09-03 00:00:25
217,Portland,45.52,-122.68,91.99,33,1,13.87,US,2020-09-02 23:55:48
218,Khani,41.96,42.96,71.6,94,100,1.12,GE,2020-09-03 00:00:26
219,Villamontes,-21.25,-63.5,56.95,53,0,2.06,BO,2020-09-03 00:00:26
220,Carauari,-4.88,-66.9,77.72,82,77,1.74,BR,2020-09-03 00:00:26
221,Mamallapuram,12.63,80.17,80.6,88,90,7.94,IN,2020-09-03 00:00:27
222,Cacador,-26.78,-51.02,61.09,88,0,7.52,BR,2020-09-03 00:00:27
223,Chicama,-7.84,-79.15,60.22,81,15,7.14,PE,2020-09-03 00:00:27
224,Saint-Philippe,-21.36,55.77,66.2,72,20,5.82,RE,2020-09-03 00:00:28
225,Alofi,-19.06,-169.92,82.4,74,90,10.29,NU,2020-09-03 00:00:28
226,Mahibadhoo,3.78,72.97,80.29,81,100,17.74,MV,2020-09-03 00:00:29
227,Alice Springs,-23.7,133.88,75.2,19,0,8.05,AU,2020-09-02 23:56:49
228,Terra Santa,-2.1,-56.49,82.2,51,0,3.15,BR,2020-09-03 00:00:29
229,Sorong,-0.88,131.25,80.38,80,100,0.65,ID,2020-09-03 00:00:30
230,Tual,-5.67,132.75,79.52,83,96,21.0,ID,2020-09-03 00:00:30
231,Aripuana,-9.17,-60.63,85.51,33,65,1.86,BR,2020-09-03 00:00:31
232,Paamiut,61.99,-49.67,44.47,68,26,10.22,GL,2020-09-03 00:00:31
233,Faanui,-16.48,-151.75,77.83,78,69,18.52,PF,2020-09-03 00:00:32
234,San-Pedro,4.75,-6.64,73.69,93,40,5.32,CI,2020-09-03 00:00:32
235,Tevaitoa,-16.78,-151.5,78.39,77,52,18.3,PF,2020-09-03 00:00:32
236,Deputatskiy,69.3,139.9,36.41,82,88,8.25,RU,2020-09-03 00:00:33
237,Ribeira Grande,38.52,-28.7,73.53,81,95,7.49,PT,2020-09-03 00:00:33
